id,first,second,third,fourth,fifth,Yellow
247,3,26,55,58,70,15
248,3,26,55,58,70,15
249,3,12,36,54,70,12
250,3,42,46,56,71,13
251,3,7,25,68,71,3
252,3,14,27,62,72,4
253,3,26,45,58,73,12
254,3,15,19,62,74,14
255,3,5,16,49,75,5
256,4,5,10,12,18,21
257,4,12,13,21,27,46
258,4,8,17,22,32,8
259,4,8,17,22,32,8
260,4,23,24,28,32,31
261,4,11,25,34,35,44
262,4,11,25,34,35,44
263,4,7,30,36,38,38
264,4,22,23,27,38,42
265,4,19,26,28,39,14
266,4,11,32,39,40,33
267,4,15,24,36,40,44
268,4,13,14,28,41,28
269,4,10,26,32,41,31
270,4,38,41,42,43,44
271,4,16,24,25,44,5
272,4,11,21,25,44,29
273,4,18,22,38,44,24
274,4,27,29,38,45,5
275,4,11,12,35,46,12
276,4,14,29,31,47,9
277,4,8,15,25,47,42
278,4,9,34,40,48,25
279,4,10,16,38,48,34
280,4,10,16,38,48,34
281,4,16,23,33,48,38
282,4,13,20,29,48,36
283,4,15,35,48,49,11
284,4,23,30,43,50,11
285,4,9,40,45,50,39
286,4,5,17,19,50,7
287,4,5,25,27,51,10
288,4,12,29,49,51,44
289,4,6,31,49,52,11
290,4,24,45,46,52,1
291,4,23,33,47,53,7
292,4,5,16,18,53,28
293,4,11,21,42,53,38
294,4,22,42,46,53,20
295,4,16,36,40,53,18
296,4,16,36,40,53,18
297,4,12,25,32,54,36
298,4,38,45,53,54,9
299,4,38,45,53,54,9
300,4,13,33,39,55,3
301,4,13,20,22,56,32
302,4,14,29,54,56,40
303,4,14,29,54,56,40
304,4,10,20,33,57,13
305,4,12,36,44,57,19
306,4,21,45,52,57,14
307,4,38,39,54,59,12
308,4,8,23,53,59,17
309,4,5,11,51,59,5
310,4,29,39,42,62,14
311,4,10,18,28,62,7
312,4,13,31,50,64,12
313,4,10,31,56,66,7
314,4,35,36,52,68,8
315,4,5,31,62,69,20
316,4,41,44,56,69,10
317,4,23,26,62,69,13
318,4,24,46,61,70,7
319,4,39,46,47,70,13
320,4,35,39,56,72,11
321,4,5,14,26,73,14
322,4,20,44,65,74,14
323,4,45,53,73,75,7
324,4,56,58,67,75,8
325,4,6,23,55,75,2
326,5,14,17,19,24,25
327,5,13,20,23,33,30
328,5,11,20,33,36,11
329,5,15,19,23,38,19
330,5,9,21,35,38,20
331,5,18,21,29,41,37
332,5,6,22,26,41,6
333,5,8,10,34,42,25
334,5,6,7,30,45,42
335,5,9,34,43,47,8
336,5,9,34,43,47,8
337,5,22,26,43,49,23
338,5,12,15,46,49,1
339,5,12,26,42,49,24
340,5,9,22,36,49,36
341,5,8,31,46,50,4
342,5,9,38,46,51,5
343,5,13,31,43,53,20
344,5,24,26,29,53,36
345,5,31,45,47,54,4
346,5,20,45,48,56,1
347,5,12,18,29,56,38
348,5,15,53,54,56,22
349,5,7,14,28,56,10
350,5,26,27,44,57,7
351,5,14,42,43,58,1
352,5,7,25,50,59,12
353,5,44,54,59,63,1
354,5,15,22,26,64,6
355,5,12,22,41,65,13
356,5,24,52,62,66,17
357,5,39,54,63,66,15
358,5,35,37,41,66,11
359,5,20,32,37,67,5
360,5,11,31,50,67,14
361,5,6,17,33,68,13
362,5,28,37,61,69,1
363,5,28,62,65,70,5
364,5,8,59,65,72,3
365,5,10,55,60,73,12
366,5,8,57,59,73,13
367,5,18,28,54,74,6
368,5,6,37,55,74,10
369,5,31,34,41,74,3
370,6,17,19,20,21,20
371,6,13,18,20,31,13
372,6,10,12,28,32,38
373,6,16,17,25,36,7
374,6,15,16,22,37,3
375,6,21,35,37,38,17
376,6,15,23,34,38,43
377,6,15,27,31,39,25
378,6,15,19,23,40,5
379,6,17,30,31,41,15
380,6,17,30,31,41,15
381,6,18,26,37,41,9
382,6,10,24,26,42,15
383,6,24,28,33,42,19
384,6,13,33,34,42,25
385,6,21,33,39,43,2
386,6,8,12,22,43,28
387,6,7,13,15,43,7
388,6,19,24,43,44,33
389,6,20,39,41,46,42
390,6,20,39,41,46,42
391,6,7,13,24,46,34
392,6,17,34,40,48,30
393,6,15,16,28,49,14
394,6,15,16,28,49,14
395,6,18,36,40,49,7
396,6,7,26,27,49,9
397,6,7,26,27,49,9
398,6,13,21,49,50,10
399,6,15,20,39,50,5
400,6,15,29,39,51,36
401,6,29,38,50,51,39
402,6,25,35,38,52,4
403,6,28,31,52,53,12
404,6,28,31,52,53,12
405,6,10,44,47,54,6
406,6,20,29,48,55,6
407,6,17,24,43,55,36
408,6,15,17,39,56,15
409,6,15,17,39,56,15
410,6,12,31,46,56,34
411,6,8,14,43,56,28
412,6,23,41,45,56,24
413,6,40,45,50,56,11
414,6,11,12,18,56,12
415,6,11,12,18,56,12
416,6,14,50,55,56,1
417,6,23,38,42,58,24
418,6,23,38,42,58,24
419,6,13,17,33,60,14
420,6,16,45,54,60,15
421,6,30,58,60,61,17
422,6,23,24,28,62,7
423,6,45,50,65,66,1
424,6,8,22,46,68,4
425,6,11,32,46,68,9
426,6,37,46,60,70,24
427,6,19,34,38,70,5
428,6,13,38,56,70,2
429,6,13,38,56,70,2
430,6,23,63,66,73,9
431,6,23,63,66,73,9
432,6,29,45,69,73,11
433,7,12,19,23,31,45
434,7,11,14,15,34,14
435,7,18,37,38,39,9
436,7,18,29,32,45,17
437,7,13,26,36,46,37
438,7,10,14,40,47,34
439,7,10,14,40,47,34
440,7,22,27,41,49,10
441,7,21,29,35,49,39
442,7,8,23,50,51,26
443,7,9,24,38,52,1
444,7,9,24,41,53,14
445,7,10,30,37,53,1
446,7,19,21,49,53,35
447,7,19,21,49,53,35
448,7,11,16,39,54,13
449,7,14,31,51,54,35
450,7,14,31,51,54,35
451,7,13,30,33,54,30
452,7,20,35,49,56,9
453,7,38,46,49,56,1
454,7,43,44,51,56,4
455,7,11,13,19,58,9
456,7,10,30,33,59,23
457,7,25,43,56,59,13
458,7,12,20,24,59,7
459,7,12,41,44,59,3
460,7,16,28,53,60,2
461,7,16,24,61,62,2
462,7,16,24,61,62,2
463,7,11,59,62,63,3
464,7,49,53,60,64,4
465,7,17,18,46,66,22
466,7,38,46,57,66,2
467,7,43,59,61,66,3
468,7,43,59,61,66,3
469,7,11,33,60,68,15
470,7,20,40,54,69,12
471,7,13,25,51,70,9
472,7,42,53,58,71,15
473,7,42,57,69,72,10
474,7,16,20,66,73,7
475,7,17,37,49,73,15
476,7,18,24,55,74,10
477,7,24,28,65,74,1
478,7,27,60,64,74,5
479,7,50,54,61,75,7
480,8,23,24,25,27,9
481,8,24,25,26,30,7
482,8,11,12,31,32,29
483,8,11,12,31,32,29
484,8,9,17,32,34,13
485,8,18,22,24,38,23
486,8,14,17,20,39,7
487,8,21,23,25,39,4
488,8,9,16,32,39,15
489,8,12,18,30,40,4
490,8,15,23,36,41,5
491,8,15,23,36,41,5
492,8,10,15,23,41,7
493,8,22,30,42,45,3
494,8,26,29,36,47,10
495,8,12,27,46,47,6
496,8,37,44,47,48,27
497,8,10,22,47,48,35
498,8,18,25,42,49,14
499,8,18,45,47,50,36
500,8,23,33,45,52,4
501,8,15,35,46,52,38
502,8,26,28,33,53,11
503,8,20,24,35,56,24
504,8,28,36,37,57,8
505,8,12,34,52,58,8
506,8,9,32,42,59,10
507,8,16,32,48,61,12
508,8,21,30,61,62,9
509,8,29,30,43,64,6
510,8,14,27,57,67,5
511,8,15,39,64,67,13
512,8,42,54,63,67,11
513,8,9,24,49,67,13
514,8,19,26,56,67,14
515,8,10,41,54,68,10
516,8,17,20,45,71,4
517,8,12,23,51,73,6
518,8,19,20,55,73,5
519,8,26,41,61,73,11
520,8,9,21,63,75,14
521,8,35,61,68,75,15
522,8,35,61,68,75,15
523,9,12,19,20,30,39
524,9,12,19,20,30,39
525,9,10,25,37,38,21
526,9,26,28,35,38,10
527,9,15,24,39,41,1
528,9,14,17,36,42,33
529,9,10,27,36,42,11
530,9,17,18,28,43,9
531,9,17,18,28,43,9
532,9,12,21,42,43,42
533,9,21,31,36,43,8
534,9,30,39,42,47,37
535,9,17,28,34,48,46
536,9,31,34,41,49,8
537,9,22,38,47,49,15
538,9,13,24,38,49,30
539,9,11,42,44,50,3
540,9,21,22,32,50,10
541,9,10,13,31,50,10
542,9,23,27,49,51,38
543,9,19,34,44,51,24
544,9,10,11,33,51,29
545,9,13,22,38,52,44
546,9,10,20,51,53,24
547,9,22,28,48,54,8
548,9,15,21,40,54,11
549,9,22,32,38,55,44
550,9,43,51,54,55,13
551,9,12,47,48,56,25
552,9,12,47,48,56,25
553,9,41,43,47,57,5
554,9,28,30,54,60,2
555,9,28,31,50,61,10
556,9,31,33,46,64,4
557,9,28,40,57,65,2
558,9,26,53,64,66,11
559,9,12,29,37,67,15
560,9,13,30,35,69,10
561,9,14,56,57,69,10
562,9,17,25,63,71,4
563,9,17,23,57,71,6
564,9,21,25,66,72,7
565,9,10,34,37,73,9
566,9,26,27,29,74,4
567,9,21,30,32,75,9
568,9,16,61,70,75,7
569,10,11,12,14,24,6
570,10,16,19,32,36,13
571,10,13,20,28,36,9
572,10,12,20,38,41,25
573,10,13,32,40,41,32
574,10,17,21,38,43,23
575,10,16,27,38,43,1
576,10,11,12,28,43,45
577,10,31,36,37,43,15
578,10,11,31,41,44,14
579,10,11,31,41,44,14
580,10,18,36,38,44,8
581,10,19,24,37,44,27
582,10,29,31,35,45,10
583,10,23,39,41,45,15
584,10,29,32,44,46,10
585,10,17,19,45,48,30
586,10,20,29,47,48,38
587,10,22,24,36,49,33
588,10,22,24,36,49,33
589,10,16,31,48,50,44
590,10,27,28,37,51,19
